orgpin,accountid,description,glrollup,lineitem,predv07
2962,14,ACCOUNTS PAYABLE,111000,Cash and Cash Equivalents,Accounts Payable
3121,1969,PAS Refund Account,(( LAWSON - DO NOT USE )),Cash and Cash Equivalents,Accounts Payable
3121,2165,AP-Electronic Fund Transfers (EFTS),(( LAWSON - DO NOT USE )),Cash and Cash Equivalents,Accounts Payable
3121,2174,Pas Refund Account,(( LAWSON - DO NOT USE )),Cash and Cash Equivalents,Accounts Payable
3121,2218,Received - Misc Unidentified,(( LAWSON - DO NOT USE )),Cash and Cash Equivalents,Accounts Payable
3121,2221,Received Misc Unidentified,(( LAWSON - DO NOT USE )),Cash and Cash Equivalents,Accounts Payable
3136,190,ACCTS PAYABLE,ASSET,Cash and Cash Equivalents,Accounts Payable
3200,17,CHASE AP VENDOR CARD,Not Specified,Cash and Cash Equivalents,Accounts Payable
1975,20661,WELLS FARGO - ACCOUNTS PAYABLE,,Cash and Cash Equivalents,Accounts Payable
1170,23,Refund Clearing - A-R Epic PB Refunds,Spectrum Financials,Cash and Cash Equivalents,Accounts Payable
2950,2535,A-P Amex Vpymt,Accounts Payable,Cash and Cash Equivalents,Accounts Payable
1178,14239,Patient Refunds-Patient Refunds-Epic-PB,,Accounts Payable,Accounts Receivable (Gross)
1178,14247,Patient Refunds-Patient Refunds-Epic-HB,,Accounts Payable,Accounts Receivable (Gross)
2719,1195,PATIENT REFUNDS,,Accounts Payable,Accounts Receivable (Gross)
2719,1276,CERNER PT REF PYBLE,,Accounts Payable,Accounts Receivable (Gross)
2972,1228,CREDIT BALANCE IN AR,LIABILITIES,Accounts Payable,Accounts Receivable (Gross)
2988,11461,A-P IDX A-R Credit Balances,Liabilities,Accounts Payable,Accounts Receivable (Gross)
2988,11462,A-P IDX A-R Credit Bal - East,Liabilities,Accounts Payable,Accounts Receivable (Gross)
3150,699,PATIENT REFUNDS,Not Specified,Accounts Payable,Accounts Receivable (Gross)
3157,19942,PATIENT REFUNDS 05,Not Specified,Accounts Payable,Accounts Receivable (Gross)
3165,3472,Refund Clearing Account,PATAR,Accounts Payable,Accounts Receivable (Gross)
3165,3905,Patient Refunds,ACCTSPAY,Accounts Payable,Accounts Receivable (Gross)
3177,287,PATIENT REFUNDS,,Accounts Payable,Accounts Receivable (Gross)
3184,312,A-P-WASHINGTON REGIONAL MEDICAL CENTER,BS-Assets,Accounts Payable,Accounts Receivable (Gross)
3184,313,A-P-HEALTH PARTNERS,BS-Assets,Accounts Payable,Accounts Receivable (Gross)
3192,887,A-P - Interco PT Refunds,,Accounts Payable,Accounts Receivable (Gross)
3192,888,Credit Balance A-R,,Accounts Payable,Accounts Receivable (Gross)
3194,703,230002-Patient Credit Balances-,Liabilities,Accounts Payable,Accounts Receivable (Gross)
3196,682,PATIENT INSURANCE REFUNDS,Not Specified,Accounts Payable,Accounts Receivable (Gross)
3200,342,PATIENT REFUNDS - SANDWICH,Not Specified,Accounts Payable,Accounts Receivable (Gross)
1975,2505,RECLASS OF CREDIT AR BAL.,Patient Credit Balances,Accounts Payable,Accounts Receivable (Gross)
3161,491,A-P-Refunds-Clearing,ACCOUNTSPAY,Accounts Payable,Accounts Receivable (Gross)
3214,5701,A-P CLEARING-OR,BALSH,Accounts Payable,Accounts Receivable (Gross)
3214,5674,A-P P-A REFUND CREDIT BALANCE,BALSH,Accounts Payable,Accounts Receivable (Gross)
3218,1508,EPIC Credit Balances,NO,Accounts Payable,Accounts Receivable (Gross)
3152,644,Refund Clearing EPIC - Refund Clearing EPIC,Refund Clearing EPIC,Accounts Payable,Accounts Receivable (Gross)
3152,498,Refund Clearing EPIC,Refund Clearing EPIC,Accounts Payable,Accounts Receivable (Gross)
3152,647,Refund Clearing Home Health - Refund Clearing Home Health,Refund Clearing Home Health,Accounts Payable,Accounts Receivable (Gross)
1192,9643,Benefits - Employer,Payroll Payroll Taxes,Accrued Employee Compensation and Benefits,Benefits
1192,9644,Benefits - Employee,Payroll Payroll Taxes,Accrued Employee Compensation and Benefits,Benefits
1246,12722,DEFINED CONTRIBUTION ADMIN COSTS,Accrued Payroll Tax and Benefits,Accrued Employee Compensation and Benefits,Benefits
1829,1319,P/R W/H TAXES-FICA,,Accrued Employee Compensation and Benefits,Benefits
1829,1323,INS-VCUHS HEALTH MED (CIGNA),,Accrued Employee Compensation and Benefits,Benefits
1829,1325,INS-VCU DENTAL,,Accrued Employee Compensation and Benefits,Benefits
1829,1327,INS-LIFE,,Accrued Employee Compensation and Benefits,Benefits
1829,1328,INS-DISABILITY,,Accrued Employee Compensation and Benefits,Benefits
1829,1332,RETIREMENT-VCUHS,,Accrued Employee Compensation and Benefits,Benefits
2053,550,Short Term Post Retirement,PENSION_POST_RETIRMT,Accrued Employee Compensation and Benefits,Benefits
2719,1210,FICA EMPLOYER TAX,,Accrued Employee Compensation and Benefits,Benefits
2962,792,LONG-TERM DISABILITY,211700,Accrued Employee Compensation and Benefits,Benefits
2980,121,UNEMPLOYMENT,Unemployment,Accrued Employee Compensation and Benefits,Benefits
2980,559,403B,403B,Accrued Employee Compensation and Benefits,Benefits
2980,1231,HEALTH PROGRAMS,Health Programs,Accrued Employee Compensation and Benefits,Benefits
2980,1459,LIFE INSURANCE,Life Insurance,Accrued Employee Compensation and Benefits,Benefits
2980,2837,401K,401K,Accrued Employee Compensation and Benefits,Benefits
2992,21721,JONES GENERAL FRINGE BENEFITS,FRINGE BENEFITS,Accrued Employee Compensation and Benefits,Benefits
2992,21725,JONES GENERAL FRINGE BENEFITS,FRINGE BENEFITS,Accrued Employee Compensation and Benefits,Benefits
